top - 23:41:26 up  2:23,  1 user,  load average: 0.30, 0.25, 0.36
Tasks: 269 total,   1 running, 268 sleeping,   0 stopped,   0 zombie
%Cpu0  :  0.0 us, 11.8 sy,  0.0 ni, 88.2 id,  0.0 wa,  0.0 hi,  0.0 si,  0.0 st
MiB Mem :    797.0 total,     52.8 free,    497.6 used,    246.7 buff/cache
MiB Swap:   2048.0 total,   1239.0 free,    809.0 used.    161.5 avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 68640 mardan    20   0  298232      0      0 S   0.0   0.0   0:00.01 gvfs-goa-volume
 68645 mardan    20   0  984340    116    116 S   0.0   0.0   0:00.12 evolution-sourc
 68648 mardan    20   0  810436     92     92 S   0.0   0.0   0:00.09 goa-daemon
 68653 mardan    20   0  214720    760    392 S   0.0   0.1   0:00.02 dconf-service
 68664 mardan    20   0  441656    140      0 S   0.0   0.0   0:00.49 goa-identity-se
 68665 mardan    20   0  381224      0      0 S   0.0   0.0   0:00.01 gvfs-afc-volume
 68676 root      20   0  204224  21248    684 S   0.0   2.6   0:06.61 sssd_kcm
 68683 mardan    20   0  558328   1288    556 S   0.0   0.2   0:00.13 gsd-power
 68685 mardan    20   0  360880    228      0 S   0.0   0.0   0:00.04 gsd-print-notif
 68687 mardan    20   0  450924    948    596 S   0.0   0.1   0:00.02 gsd-rfkill
 68688 mardan    20   0  299148    916    612 S   0.0   0.1   0:00.01 gsd-screensaver
 68693 mardan    20   0  471628    876      0 S   0.0   0.1   0:00.09 gsd-sharing
 68697 mardan    20   0  376508    288      0 S   0.0   0.0   0:00.03 gsd-sound
 68702 mardan    20   0  535692    552      0 S   0.0   0.1   0:00.14 gsd-xsettings
 68705 mardan    20   0  518908   1212    796 S   0.0   0.1   0:00.17 gsd-wacom
 68708 mardan    20   0  504100    272      0 S   0.0   0.0   0:00.35 gsd-smartcard
 68711 mardan    20   0  398780    656    348 S   0.0   0.1   0:00.02 gsd-account
 68731 mardan    20   0  318280    172      0 S   0.0   0.0   0:00.02 gsd-a11y-settin
 68734 mardan    20   0  386976    520     36 S   0.0   0.1   0:00.09 gsd-clipboard
 68739 mardan    20   0  698100   1572    760 S   0.0   0.2   0:00.16 gsd-color
 68743 mardan    20   0  475960    340     64 S   0.0   0.0   0:00.05 gsd-datetime
 68746 mardan    20   0  398724   1280    944 S   0.0   0.2   0:00.12 gsd-housekeepin
 68749 mardan    20   0  534608    784      0 S   0.0   0.1   0:00.11 gsd-keyboard
 68754 mardan    20   0 1131080   1332     12 S   0.0   0.2   0:00.24 gsd-media-keys
 68756 mardan    20   0  318284   1060    656 S   0.0   0.1   0:00.02 gsd-mouse
 68775 root      20   0  133560      0      0 S   0.0   0.0   0:00.03 cupsd
 68809 mardan    20   0  244844    492      0 S   0.0   0.1   0:01.62 ibus-engine-sim
 68823 mardan    20   0  849724      0      0 S   0.0   0.0   0:00.18 evolution-calen
 68837 mardan    20   0  516844      0      0 S   0.0   0.0   0:00.02 gsd-printer
 68854 mardan    20   0  300912     60     60 S   0.0   0.0   0:00.00 gsd-disk-utilit
 68916 mardan    20   0 1065180   1368    480 S   0.0   0.2   0:01.32 gnome-software
 68920 mardan    20   0  602516   1744   1220 S   0.0   0.2   0:00.81 tracker-store
 68983 mardan    20   0  574428   2864   1100 S   0.0   0.4   0:08.04 vmtoolsd
 68984 mardan    39  19  771896      0      0 S   0.0   0.0   0:00.25 tracker-miner-a
 68985 mardan    39  19  787408      0      0 S   0.0   0.0   0:00.22 tracker-miner-f
 68996 mardan    20   0 1017628      0      0 S   0.0   0.0   0:00.16 evolution-calen
 69019 mardan    20   0  836396      0      0 S   0.0   0.0   0:00.13 evolution-addre
 69025 mardan    20   0  226324     40     40 S   0.0   0.0   0:00.01 gvfsd-metadata
 69055 mardan    20   0  986208      0      0 S   0.0   0.0   0:00.18 evolution-addre
 69092 root      20   0  551892      0      0 S   0.0   0.0   0:00.25 fwupd
 69100 root      20   0  343204      0      0 S   0.0   0.0   0:00.04 boltd
 69354 mardan    20   0  635548  18076  10888 S   0.0   2.2   0:09.35 gnome-terminal-
 69374 mardan    20   0  404644      0      0 S   0.0   0.0   0:00.02 gvfsd-trash
 69411 mardan    20   0   24692     28     28 S   0.0   0.0   0:00.03 bash
 69455 root      20   0  132424      0      0 S   0.0   0.0   0:00.01 su
 69460 root      20   0   28280   4056   1828 S   0.0   0.5   0:00.77 bash
 70833 mardan    20   0  347092      0      0 S   0.0   0.0   0:00.00 gvfsd-http
 72385 mardan    20   0   24692     40     40 S   0.0   0.0   0:00.03 bash
 72413 root      20   0  132424      0      0 S   0.0   0.0   0:00.01 su
 72418 root      20   0   26820     44     40 S   0.0   0.0   0:00.06 bash
 72536 root      20   0       0      0      0 I   0.0   0.0   0:00.16 kworker/u256:0-events_unbound
112693 root      20   0       0      0      0 I   0.0   0.0   0:00.09 kworker/u256:1-events_unbound
113131 root      20   0       0      0      0 I   0.0   0.0   0:00.05 kworker/0:2-xfs-cil/dm-0
113847 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/0:1-ata_sff
114039 root      20   0       0      0      0 I   0.0   0.0   0:00.04 kworker/0:0-events
114106 root      20   0  630188  58168   7292 S   0.0   7.1   0:01.39 packagekitd
114151 root      20   0    7280    820    760 S   0.0   0.1   0:00.00 sleep

top - 23:41:29 up  2:23,  1 user,  load average: 0.30, 0.25, 0.36
Tasks: 269 total,   1 running, 268 sleeping,   0 stopped,   0 zombie
%Cpu0  :  0.3 us,  0.3 sy,  0.0 ni, 99.0 id,  0.0 wa,  0.3 hi,  0.0 si,  0.0 st
MiB Mem :    797.0 total,     52.7 free,    497.6 used,    246.7 buff/cache
MiB Swap:   2048.0 total,   1239.0 free,    809.0 used.    161.5 avail Mem 

   PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
 68535 mardan    20   0 2948268  91260  28052 S   0.3  11.2   1:22.57 gnome-shell
113847 root      20   0       0      0      0 I   0.3   0.0   0:00.05 kworker/0:1-ata_sff
     1 root      20   0  245232   2772   1108 S   0.0   0.3   0:02.96 systemd
     2 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kthreadd
     3 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_gp
     4 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 rcu_par_gp
     6 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kworker/0:0H-kblockd
     8 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 mm_percpu_wq
     9 root      20   0       0      0      0 S   0.0   0.0   0:00.54 ksoftirqd/0
    10 root      20   0       0      0      0 I   0.0   0.0   0:00.91 rcu_sched
    11 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 migration/0
    12 root      rt   0       0      0      0 S   0.0   0.0   0:00.00 watchdog/0
    13 root      20   0       0      0      0 S   0.0   0.0   0:00.00 cpuhp/0
    15 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kdevtmpfs
    16 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 netns
    17 root      20   0       0      0      0 S   0.0   0.0   0:00.00 kauditd
    18 root      20   0       0      0      0 S   0.0   0.0   0:00.00 khungtaskd
    19 root      20   0       0      0      0 S   0.0   0.0   0:00.00 oom_reaper
    20 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 writeback
    21 root      20   0       0      0      0 S   0.0   0.0   0:00.01 kcompactd0
    22 root      25   5       0      0      0 S   0.0   0.0   0:00.00 ksmd
    23 root      39  19       0      0      0 S   0.0   0.0   0:00.31 khugepaged
    24 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 crypto
    25 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 kintegrityd
